id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
72,Mumbai,2008-04-27,MI,DC,DC,field,normal,0,DC,10,wickets,AC Gilchrist,Asad Rauf
73,Chandigarh,2008-04-27,DD,KXIP,DD,bat,normal,0,KXIP,4,wickets,SM Katich,RE Koertzen
74,Bangalore,2008-04-28,CSK,RCB,CSK,bat,normal,0,CSK,13,runs,MS Dhoni,BR Doctrove
75,Kolkata,2008-04-29,KKR,MI,KKR,bat,normal,0,MI,7,wickets,ST Jayasuriya,BF Bowden
76,Delhi,2008-04-30,DD,RCB,RCB,field,normal,0,DD,10,runs,GD McGrath,Aleem Dar
77,Hyderabad,2008-05-01,DC,KXIP,KXIP,field,normal,0,KXIP,7,wickets,SE Marsh,BR Doctrove
78,Jaipur,2008-05-01,RR,KKR,RR,bat,normal,0,RR,45,runs,SA Asnodkar,RE Koertzen
79,Chennai,2008-05-02,CSK,DD,CSK,bat,normal,0,DD,8,wickets,V Sehwag,BF Bowden
80,Hyderabad,2008-05-25,DC,RCB,DC,bat,normal,0,RCB,5,wickets,R Vinay Kumar,Asad Rauf
81,Chandigarh,2008-05-03,KXIP,KKR,KXIP,bat,normal,0,KXIP,9,runs,IK Pathan,DJ Harper
82,Mumbai,2008-05-04,MI,DD,DD,field,normal,0,MI,29,runs,SM Pollock,IL Howell
83,Jaipur,2008-05-04,CSK,RR,CSK,bat,normal,0,RR,8,wickets,Sohail Tanvir,Asad Rauf
84,Bangalore,2008-05-05,RCB,KXIP,KXIP,field,normal,0,KXIP,6,wickets,S Sreesanth,SJ Davis
85,Chennai,2008-05-06,CSK,DC,DC,field,normal,0,DC,7,wickets,AC Gilchrist,MR Benson
86,Mumbai,2008-05-07,RR,MI,MI,field,normal,0,MI,7,wickets,A Nehra,DJ Harper
87,Delhi,2008-05-08,DD,CSK,CSK,field,normal,0,CSK,4,wickets,MS Dhoni,Aleem Dar
88,Kolkata,2008-05-08,KKR,RCB,KKR,bat,normal,0,KKR,5,runs,SC Ganguly,Asad Rauf
89,Jaipur,2008-05-09,DC,RR,RR,field,normal,0,RR,8,wickets,YK Pathan,MR Benson
90,Bangalore,2008-05-28,RCB,MI,MI,field,normal,0,MI,9,wickets,CRD Fernando,BF Bowden
91,Chennai,2008-05-10,CSK,KXIP,KXIP,field,normal,0,CSK,18,runs,L Balaji,AV Jayaprakash
92,Hyderabad,2008-05-11,KKR,DC,KKR,bat,normal,0,KKR,23,runs,SC Ganguly,IL Howell
93,Jaipur,2008-05-11,DD,RR,RR,field,normal,0,RR,3,wickets,SR Watson,SJ Davis
94,Chandigarh,2008-05-12,RCB,KXIP,RCB,bat,normal,0,KXIP,9,wickets,SE Marsh,BR Doctrove
95,Kolkata,2008-05-13,KKR,DD,KKR,bat,normal,0,KKR,23,runs,Shoaib Akhtar,Asad Rauf
96,Mumbai,2008-05-14,CSK,MI,MI,field,normal,0,MI,9,wickets,ST Jayasuriya,BR Doctrove
97,Chandigarh,2008-05-28,KXIP,RR,RR,field,normal,0,KXIP,41,runs,SE Marsh,SJ Davis
98,Delhi,2008-05-15,DD,DC,DC,field,normal,0,DD,12,runs,A Mishra,BG Jerling
99,Mumbai,2008-05-16,KKR,MI,MI,field,normal,0,MI,8,wickets,SM Pollock,BR Doctrove
100,Delhi,2008-05-17,DD,KXIP,DD,bat,normal,1,KXIP,6,runs,DPMD Jayawardene,AV Jayaprakash
101,Jaipur,2008-05-17,RR,RCB,RCB,field,normal,0,RR,65,runs,GC Smith,BF Bowden
102,Hyderabad,2008-05-18,MI,DC,DC,field,normal,0,MI,25,runs,DJ Bravo,BR Doctrove
103,Kolkata,2008-05-18,KKR,CSK,KKR,bat,normal,1,CSK,3,runs,M Ntini,Asad Rauf
104,Bangalore,2008-05-19,RCB,DD,DD,field,normal,0,DD,5,wickets,SP Goswami,SJ Davis
105,Kolkata,2008-05-20,KKR,RR,RR,field,normal,0,RR,6,wickets,YK Pathan,BG Jerling
106,Mumbai,2008-05-21,KXIP,MI,MI,field,normal,0,KXIP,1,runs,SE Marsh,BF Bowden
107,Chennai,2008-05-21,RCB,CSK,RCB,bat,normal,0,RCB,14,runs,A Kumble,DJ Harper
108,Chandigarh,2008-05-23,DC,KXIP,KXIP,field,normal,0,KXIP,6,wickets,SE Marsh,Asad Rauf
109,Delhi,2008-05-24,MI,DD,DD,field,normal,0,DD,5,wickets,KD Karthik,BF Bowden
110,Chennai,2008-05-24,RR,CSK,RR,bat,normal,0,RR,10,runs,JA Morkel,DJ Harper
111,Bangalore,2008-05-03,RCB,DC,DC,field,normal,0,RCB,3,runs,P Kumar,BR Doctrove
112,Kolkata,2008-05-25,KXIP,KKR,KXIP,bat,normal,0,KKR,3,wickets,Umar Gul,SJ Davis
113,Jaipur,2008-05-26,MI,RR,RR,field,normal,0,RR,5,wickets,Sohail Tanvir,BF Bowden
114,Hyderabad,2008-05-27,DC,CSK,DC,bat,normal,0,CSK,7,wickets,SK Raina,BG Jerling
115,Mumbai,2008-05-30,RR,DD,DD,field,normal,0,RR,105,runs,SR Watson,BF Bowden
116,Mumbai,2008-05-31,KXIP,CSK,KXIP,bat,normal,0,CSK,9,wickets,M Ntini,Asad Rauf
117,Mumbai,2008-06-01,CSK,RR,RR,field,normal,0,RR,3,wickets,YK Pathan,BF Bowden
118,Cape Town,2009-04-18,MI,CSK,CSK,field,normal,0,MI,19,runs,SR Tendulkar,BR Doctrove
119,Cape Town,2009-04-18,RCB,RR,RCB,bat,normal,0,RCB,75,runs,R Dravid,BR Doctrove
120,Cape Town,2009-04-19,KXIP,DD,DD,field,normal,1,DD,10,wickets,DL Vettori,MR Benson
121,Cape Town,2009-04-19,KKR,DC,KKR,bat,normal,0,DC,8,wickets,RP Singh,MR Benson
122,Port Elizabeth,2009-04-20,CSK,RCB,CSK,bat,normal,0,CSK,92,runs,M Muralitharan,BG Jerling
123,Durban,2009-04-21,KXIP,KKR,KKR,field,normal,1,KKR,11,runs,CH Gayle,DJ Harper
124,Cape Town,2009-04-22,DC,RCB,DC,bat,normal,0,DC,24,runs,AC Gilchrist,M Erasmus
125,Durban,2009-04-23,DD,CSK,DD,bat,normal,0,DD,9,runs,AB de Villiers,BR Doctrove
126,Cape Town,2009-04-23,RR,KKR,KKR,field,tie,0,RR,0,,YK Pathan,MR Benson
127,Durban,2009-04-24,RCB,KXIP,RCB,bat,normal,0,KXIP,7,wickets,RS Bopara,BR Doctrove
128,Durban,2009-04-25,DC,MI,DC,bat,normal,0,DC,12,runs,PP Ojha,HDPK Dharmasena
129,Port Elizabeth,2009-04-26,RCB,DD,RCB,bat,normal,0,DD,6,wickets,TM Dilshan,S Asnani
130,Cape Town,2009-04-26,KXIP,RR,KXIP,bat,normal,0,KXIP,27,runs,KC Sangakkara,M Erasmus
131,Durban,2009-04-27,CSK,DC,DC,field,normal,0,DC,6,wickets,HH Gibbs,IL Howell
132,Port Elizabeth,2009-04-27,MI,KKR,MI,bat,normal,0,MI,92,runs,SR Tendulkar,BG Jerling
133,Centurion,2009-04-28,DD,RR,DD,bat,normal,0,RR,5,wickets,YK Pathan,GAV Baxter
134,Durban,2009-04-29,KKR,RCB,KKR,bat,normal,0,RCB,5,wickets,MV Boucher,MR Benson
135,Durban,2009-04-29,KXIP,MI,KXIP,bat,normal,0,KXIP,3,runs,KC Sangakkara,MR Benson
136,Centurion,2009-04-30,DC,DD,DD,field,normal,0,DD,6,wickets,DP Nannes,GAV Baxter
137,Centurion,2009-04-30,CSK,RR,RR,field,normal,0,CSK,38,runs,SK Raina,GAV Baxter
138,East London,2009-05-01,MI,KKR,MI,bat,normal,0,MI,9,runs,JP Duminy,M Erasmus
139,Durban,2009-05-01,RCB,KXIP,RCB,bat,normal,0,RCB,8,runs,Yuvraj Singh,HDPK Dharmasena
140,Port Elizabeth,2009-05-02,DC,RR,DC,bat,normal,0,RR,3,wickets,YK Pathan,S Asnani
141,Johannesburg,2009-05-02,CSK,DD,DD,field,normal,0,CSK,18,runs,SB Jakati,DJ Harper
142,Port Elizabeth,2009-05-03,KKR,KXIP,KKR,bat,normal,0,KXIP,6,wickets,DPMD Jayawardene,S Asnani
143,Johannesburg,2009-05-03,MI,RCB,MI,bat,normal,0,RCB,9,wickets,JH Kallis,RE Koertzen
144,East London,2009-05-04,CSK,DC,CSK,bat,normal,0,CSK,78,runs,MS Dhoni,BR Doctrove
145,Durban,2009-05-05,RR,KXIP,KXIP,field,normal,0,RR,78,runs,GC Smith,SS Hazare
146,Durban,2009-05-05,KKR,DD,KKR,bat,normal,0,DD,9,wickets,G Gambhir,GAV Baxter
147,Centurion,2009-05-06,DC,MI,DC,bat,normal,0,DC,19,runs,RG Sharma,MR Benson
148,Centurion,2009-05-07,RCB,RR,RR,field,normal,0,RR,7,wickets,A Singh,K Hariharan
149,Centurion,2009-05-07,CSK,KXIP,CSK,bat,normal,1,CSK,12,runs,ML Hayden,DJ Harper
150,East London,2009-05-08,MI,DD,MI,bat,normal,0,DD,7,wickets,A Nehra,M Erasmus
151,Kimberley,2009-05-09,DC,KXIP,KXIP,field,normal,0,KXIP,3,wickets,DPMD Jayawardene,GAV Baxter
152,Kimberley,2009-05-09,RR,CSK,RR,bat,normal,0,CSK,7,wickets,S Badrinath,GAV Baxter
153,Port Elizabeth,2009-05-10,MI,RCB,MI,bat,normal,0,MI,16,runs,JP Duminy,BR Doctrove
154,Johannesburg,2009-05-10,KKR,DD,DD,field,normal,0,DD,7,wickets,A Mishra,SL Shastri
155,Kimberley,2009-05-11,DC,RR,DC,bat,normal,0,DC,53,runs,DR Smith,GAV Baxter
156,Centurion,2009-05-12,KKR,RCB,RCB,field,normal,0,RCB,6,wickets,LRPL Taylor,M Erasmus
157,Centurion,2009-05-12,KXIP,MI,KXIP,bat,normal,0,MI,8,wickets,Harbhajan Singh,SS Hazare
158,Durban,2009-05-13,DD,DC,DC,field,normal,0,DD,12,runs,R Bhatia,DJ Harper
159,Durban,2009-05-14,CSK,RCB,CSK,bat,normal,0,RCB,2,wickets,LRPL Taylor,BR Doctrove
160,Durban,2009-05-14,RR,MI,RR,bat,normal,0,RR,2,runs,SK Warne,BR Doctrove
161,Bloemfontein,2009-05-15,DD,KXIP,KXIP,field,normal,0,KXIP,6,wickets,B Lee,HDPK Dharmasena
162,Port Elizabeth,2009-05-16,MI,CSK,MI,bat,normal,0,CSK,7,wickets,ML Hayden,SK Tarapore
163,Johannesburg,2009-05-16,KKR,DC,DC,field,normal,0,DC,6,wickets,RG Sharma,RE Koertzen
164,Johannesburg,2009-05-17,KXIP,DC,DC,field,normal,0,KXIP,1,runs,Yuvraj Singh,S Ravi
165,Bloemfontein,2009-05-17,DD,RR,DD,bat,normal,0,DD,14,runs,AB de Villiers,SS Hazare
166,Centurion,2009-05-18,CSK,KKR,CSK,bat,normal,0,KKR,7,wickets,BJ Hodge,SJA Taufel
167,Johannesburg,2009-05-19,DD,RCB,DD,bat,normal,0,RCB,7,wickets,JH Kallis,IL Howell
168,Durban,2009-05-20,RR,KKR,KKR,field,normal,0,KKR,4,wickets,LR Shukla,BG Jerling
169,Durban,2009-05-20,CSK,KXIP,CSK,bat,normal,0,CSK,24,runs,M Muralitharan,BG Jerling
170,Centurion,2009-05-21,MI,DD,DD,field,normal,0,DD,4,wickets,V Sehwag,IL Howell
171,Centurion,2009-05-21,RCB,DC,RCB,bat,normal,0,RCB,12,runs,MK Pandey,IL Howell
172,Centurion,2009-05-22,DD,DC,DC,field,normal,0,DC,6,wickets,AC Gilchrist,BR Doctrove
173,Johannesburg,2009-05-23,CSK,RCB,RCB,field,normal,0,RCB,6,wickets,MK Pandey,RE Koertzen
174,Johannesburg,2009-05-24,DC,RCB,RCB,field,normal,0,DC,6,runs,A Kumble,RE Koertzen
175,Mumbai,2010-03-12,KKR,DC,DC,field,normal,0,KKR,11,runs,AD Mathews,RE Koertzen
176,Mumbai,2010-03-13,MI,RR,MI,bat,normal,0,MI,4,runs,YK Pathan,RE Koertzen
177,Chandigarh,2010-03-13,KXIP,DD,DD,field,normal,0,DD,5,wickets,G Gambhir,BR Doctrove
178,Kolkata,2010-03-14,RCB,KKR,KKR,field,normal,0,KKR,7,wickets,MK Tiwary,HDPK Dharmasena
179,Chennai,2010-03-14,DC,CSK,DC,bat,normal,0,DC,31,runs,WPUJC Vaas,K Hariharan
180,Ahmedabad,2010-03-15,RR,DD,DD,field,normal,0,DD,6,wickets,V Sehwag,BG Jerling
181,Bangalore,2010-03-16,KXIP,RCB,KXIP,bat,normal,0,RCB,8,wickets,JH Kallis,S Das
182,Kolkata,2010-03-16,CSK,KKR,CSK,bat,normal,0,CSK,55,runs,MS Dhoni,HDPK Dharmasena
183,Delhi,2010-03-17,MI,DD,DD,field,normal,0,MI,98,runs,SR Tendulkar,BR Doctrove
184,Bangalore,2010-03-18,RR,RCB,RCB,field,normal,0,RCB,10,wickets,JH Kallis,K Hariharan
185,Delhi,2010-03-19,DD,CSK,DD,bat,normal,0,CSK,5,wickets,ML Hayden,BR Doctrove
186,Cuttack,2010-03-19,DC,KXIP,KXIP,field,normal,0,DC,6,runs,A Symonds,BF Bowden
187,Ahmedabad,2010-03-20,RR,KKR,RR,bat,normal,0,RR,34,runs,AA Jhunjhunwala,RE Koertzen
188,Mumbai,2010-03-20,MI,RCB,MI,bat,normal,0,RCB,7,wickets,JH Kallis,HDPK Dharmasena
189,Cuttack,2010-03-21,DC,DD,DC,bat,normal,0,DC,10,runs,A Symonds,BF Bowden
190,Chennai,2010-03-21,KXIP,CSK,CSK,field,tie,0,KXIP,0,,J Theron,K Hariharan
191,Mumbai,2010-03-22,KKR,MI,KKR,bat,normal,0,MI,7,wickets,SR Tendulkar,SS Hazare
192,Bangalore,2010-03-23,RCB,CSK,CSK,field,normal,0,RCB,36,runs,RV Uthappa,RE Koertzen
193,Chandigarh,2010-03-24,RR,KXIP,KXIP,field,normal,0,RR,31,runs,AC Voges,BR Doctrove
194,Mumbai,2010-03-25,CSK,MI,MI,field,normal,0,MI,5,wickets,SR Tendulkar,BF Bowden
195,Ahmedabad,2010-03-26,DC,RR,DC,bat,normal,0,RR,8,wickets,YK Pathan,HDPK Dharmasena
196,Chandigarh,2010-03-27,KKR,KXIP,KKR,bat,normal,0,KKR,39,runs,MK Tiwary,BR Doctrove
197,Bangalore,2010-03-25,DD,RCB,RCB,field,normal,0,DD,17,runs,KM Jadhav,BG Jerling
198,Ahmedabad,2010-03-28,RR,CSK,RR,bat,normal,0,RR,17,runs,NV Ojha,SS Hazare
199,Mumbai,2010-03-28,MI,DC,DC,field,normal,0,MI,41,runs,Harbhajan Singh,S Das
200,Delhi,2010-03-29,DD,KKR,DD,bat,normal,0,DD,40,runs,DA Warner,SS Hazare
201,Mumbai,2010-03-30,KXIP,MI,MI,field,normal,0,MI,4,wickets,SL Malinga,BR Doctrove
202,Chennai,2010-03-31,RCB,CSK,RCB,bat,normal,0,CSK,5,wickets,M Vijay,BG Jerling
203,Delhi,2010-03-31,DD,RR,DD,bat,normal,0,DD,67,runs,KD Karthik,HDPK Dharmasena
204,Kolkata,2010-04-01,KKR,DC,KKR,bat,normal,0,KKR,24,runs,SC Ganguly,K Hariharan
205,Chandigarh,2010-04-02,KXIP,RCB,KXIP,bat,normal,0,RCB,6,wickets,KP Pietersen,BF Bowden
206,Chennai,2010-04-03,CSK,RR,CSK,bat,normal,0,CSK,23,runs,M Vijay,RE Koertzen
207,Mumbai,2010-04-03,MI,DC,MI,bat,normal,0,MI,63,runs,AT Rayudu,BR Doctrove
208,Kolkata,2010-04-04,KKR,KXIP,KKR,bat,normal,0,KXIP,8,wickets,DPMD Jayawardene,S Asnani
209,Delhi,2010-04-04,DD,RCB,DD,bat,normal,0,DD,37,runs,PD Collingwood,BF Bowden
210,Nagpur,2010-04-05,RR,DC,RR,bat,normal,0,RR,2,runs,SK Warne,HDPK Dharmasena
211,Chennai,2010-04-06,CSK,MI,CSK,bat,normal,0,CSK,24,runs,SK Raina,S Asnani
212,Jaipur,2010-04-07,KXIP,RR,KXIP,bat,normal,0,RR,9,wickets,MJ Lumb,S Ravi
213,Kolkata,2010-04-07,KKR,DD,KKR,bat,normal,0,KKR,14,runs,SC Ganguly,BG Jerling
214,Bangalore,2010-04-08,RCB,DC,DC,field,normal,0,DC,7,wickets,TL Suman,S Asnani
215,Chandigarh,2010-04-09,MI,KXIP,MI,bat,normal,0,KXIP,6,wickets,KC Sangakkara,M Erasmus
216,Nagpur,2010-04-10,CSK,DC,CSK,bat,normal,0,DC,6,wickets,RJ Harris,HDPK Dharmasena
217,Bangalore,2010-04-10,KKR,RCB,RCB,field,normal,0,RCB,7,wickets,R Vinay Kumar,K Hariharan
218,Delhi,2010-04-11,DD,KXIP,DD,bat,normal,0,KXIP,7,wickets,PP Chawla,BF Bowden
219,Jaipur,2010-04-11,MI,RR,RR,field,normal,0,MI,37,runs,SR Tendulkar,BR Doctrove
220,Nagpur,2010-04-12,DC,RCB,RCB,field,normal,0,DC,13,runs,Harmeet Singh,RE Koertzen
221,Mumbai,2010-04-13,MI,DD,MI,bat,normal,0,MI,39,runs,KA Pollard,S Asnani
222,Chennai,2010-04-13,KKR,CSK,KKR,bat,normal,0,CSK,9,wickets,R Ashwin,SS Hazare
223,Jaipur,2010-04-14,RR,RCB,RR,bat,normal,0,RCB,5,wickets,KP Pietersen,BR Doctrove
224,Chennai,2010-04-15,CSK,DD,CSK,bat,normal,0,DD,6,wickets,G Gambhir,HDPK Dharmasena
225,Dharamsala,2010-04-16,KXIP,DC,DC,field,normal,0,DC,5,wickets,RG Sharma,M Erasmus
226,Bangalore,2010-04-17,MI,RCB,RCB,field,normal,0,MI,57,runs,R McLaren,HDPK Dharmasena
227,Kolkata,2010-04-17,RR,KKR,RR,bat,normal,0,KKR,8,wickets,JD Unadkat,BG Jerling
228,Dharamsala,2010-04-18,KXIP,CSK,CSK,field,normal,0,CSK,6,wickets,MS Dhoni,BF Bowden
229,Delhi,2010-04-18,DC,DD,DC,bat,normal,0,DC,11,runs,A Symonds,BR Doctrove
230,Kolkata,2010-04-19,MI,KKR,MI,bat,normal,0,KKR,9,wickets,M Kartik,BG Jerling
231,Mumbai,2010-04-21,MI,RCB,MI,bat,normal,0,MI,35,runs,KA Pollard,BR Doctrove
232,Mumbai,2010-04-22,CSK,DC,CSK,bat,normal,0,CSK,38,runs,DE Bollinger,BR Doctrove
233,Mumbai,2010-04-24,DC,RCB,DC,bat,normal,0,RCB,9,wickets,A Kumble,RE Koertzen
234,Mumbai,2010-04-25,CSK,MI,CSK,bat,normal,0,CSK,22,runs,SK Raina,RE Koertzen
235,Chennai,2011-04-08,CSK,KKR,CSK,bat,normal,0,CSK,2,runs,S Anirudha,BR Doctrove
236,Hyderabad,2011-04-09,DC,RR,RR,field,normal,0,RR,8,wickets,SK Trivedi,RE Koertzen
237,Kochi,2011-04-09,KTK,RCB,KTK,bat,normal,0,RCB,6,wickets,AB de Villiers,HDPK Dharmasena
238,Delhi,2011-04-10,DD,MI,DD,bat,normal,0,MI,8,wickets,SL Malinga,AM Saheba
239,Mumbai,2011-04-10,KXIP,PWI,KXIP,bat,normal,0,PWI,7,wickets,SB Wagh,BR Doctrove
240,Kolkata,2011-04-11,KKR,DC,KKR,bat,normal,0,KKR,9,runs,JH Kallis,RE Koertzen
241,Jaipur,2011-04-12,DD,RR,DD,bat,normal,0,RR,6,wickets,SK Warne,Aleem Dar
242,Bangalore,2011-04-12,RCB,MI,MI,field,normal,0,MI,9,wickets,SR Tendulkar,HDPK Dharmasena
243,Chandigarh,2011-04-13,CSK,KXIP,KXIP,field,normal,0,KXIP,6,wickets,PC Valthaty,Asad Rauf
244,Mumbai,2011-04-13,KTK,PWI,KTK,bat,normal,0,PWI,4,wickets,MD Mishra,S Asnani
245,Hyderabad,2011-04-14,DC,RCB,RCB,field,normal,0,DC,33,runs,DW Steyn,RE Koertzen
246,Jaipur,2011-04-15,RR,KKR,KKR,field,normal,0,KKR,9,wickets,G Gambhir,Aleem Dar
247,Mumbai,2011-04-15,MI,KTK,KTK,field,normal,0,KTK,8,wickets,BB McCullum,BR Doctrove
248,Chennai,2011-04-16,CSK,RCB,CSK,bat,normal,0,CSK,21,runs,MEK Hussey,HDPK Dharmasena
249,Hyderabad,2011-04-16,DC,KXIP,KXIP,field,normal,0,KXIP,8,wickets,PC Valthaty,RE Koertzen
250,Mumbai,2011-04-17,PWI,DD,DD,field,normal,0,DD,3,wickets,Yuvraj Singh,Asad Rauf
251,Kolkata,2011-04-17,RR,KKR,KKR,field,normal,0,KKR,8,wickets,L Balaji,Aleem Dar
252,Kochi,2011-04-18,CSK,KTK,KTK,field,normal,1,KTK,7,wickets,BB McCullum,K Hariharan
253,Delhi,2011-04-19,DC,DD,DC,bat,normal,0,DC,16,runs,S Sohal,PR Reiffel
254,Mumbai,2011-04-20,PWI,MI,PWI,bat,normal,0,MI,7,wickets,MM Patel,Asad Rauf
255,Kolkata,2011-04-20,KTK,KKR,KKR,field,normal,0,KTK,6,runs,DPMD Jayawardene,Aleem Dar
256,Chandigarh,2011-04-21,KXIP,RR,RR,field,normal,0,KXIP,48,runs,SE Marsh,S Asnani
257,Mumbai,2011-04-22,MI,CSK,CSK,field,normal,0,MI,8,runs,Harbhajan Singh,Asad Rauf
258,Kolkata,2011-04-22,KKR,RCB,RCB,field,normal,0,RCB,9,wickets,CH Gayle,SS Hazare
259,Delhi,2011-04-23,DD,KXIP,KXIP,field,normal,0,DD,29,runs,DA Warner,S Asnani
260,Hyderabad,2011-04-24,MI,DC,DC,field,normal,0,MI,37,runs,SL Malinga,HDPK Dharmasena
261,Jaipur,2011-04-24,KTK,RR,RR,field,normal,0,RR,8,wickets,SK Warne,BR Doctrove
262,Chennai,2011-04-25,CSK,PWI,PWI,field,normal,0,CSK,25,runs,MEK Hussey,Aleem Dar
263,Delhi,2011-04-26,DD,RCB,RCB,field,normal,0,RCB,3,wickets,V Kohli,S Asnani
264,Mumbai,2011-04-27,PWI,CSK,PWI,bat,normal,0,CSK,8,wickets,DE Bollinger,Asad Rauf
265,Kochi,2011-04-27,DC,KTK,KTK,field,normal,0,DC,55,runs,I Sharma,HDPK Dharmasena
266,Delhi,2011-04-28,KKR,DD,DD,field,normal,0,KKR,17,runs,MK Tiwary,PR Reiffel
267,Jaipur,2011-04-29,MI,RR,RR,field,normal,0,RR,7,wickets,J Botha,Asad Rauf
268,Bangalore,2011-04-29,RCB,PWI,PWI,field,normal,0,RCB,26,runs,V Kohli,Aleem Dar
269,Kochi,2011-04-30,DD,KTK,DD,bat,normal,0,DD,38,runs,V Sehwag,HDPK Dharmasena
270,Kolkata,2011-04-30,KXIP,KKR,KKR,field,normal,0,KKR,8,wickets,Iqbal Abdulla,AM Saheba
271,Jaipur,2011-05-01,PWI,RR,RR,field,normal,0,RR,6,wickets,LRPL Taylor,SK Tarapore
272,Chennai,2011-05-01,CSK,DC,CSK,bat,normal,0,CSK,19,runs,JA Morkel,Aleem Dar
273,Mumbai,2011-05-02,MI,KXIP,KXIP,field,normal,0,MI,23,runs,KA Pollard,HDPK Dharmasena
274,Delhi,2011-05-02,DD,KTK,KTK,field,normal,0,KTK,7,wickets,P Parameswaran,Asad Rauf
275,Hyderabad,2011-05-03,KKR,DC,DC,field,normal,0,KKR,20,runs,YK Pathan,S Asnani
276,Chennai,2011-05-04,RR,CSK,RR,bat,normal,0,CSK,8,wickets,MEK Hussey,SS Hazare
277,Mumbai,2011-05-04,MI,PWI,PWI,field,normal,0,MI,21,runs,R Sharma,HDPK Dharmasena
278,Kochi,2011-05-05,KTK,KKR,KKR,field,normal,0,KTK,17,runs,BJ Hodge,S Ravi
279,Hyderabad,2011-05-05,DC,DD,DD,field,normal,0,DD,4,wickets,V Sehwag,Asad Rauf
280,Bangalore,2011-05-06,RCB,KXIP,KXIP,field,normal,0,RCB,85,runs,CH Gayle,Aleem Dar
281,Kolkata,2011-05-07,CSK,KKR,CSK,bat,normal,1,KKR,10,runs,Iqbal Abdulla,Asad Rauf
282,Mumbai,2011-05-07,MI,DD,DD,field,normal,0,MI,32,runs,AT Rayudu,K Hariharan
283,Bangalore,2011-05-08,KTK,RCB,KTK,bat,normal,0,RCB,9,wickets,CH Gayle,Aleem Dar
284,Chandigarh,2011-05-08,KXIP,PWI,KXIP,bat,normal,0,PWI,5,wickets,R Sharma,SK Tarapore
285,Jaipur,2011-05-09,CSK,RR,RR,field,normal,0,CSK,63,runs,M Vijay,K Hariharan
286,Hyderabad,2011-05-10,DC,PWI,DC,bat,normal,0,PWI,6,wickets,MR Marsh,Asad Rauf
287,Chandigarh,2011-05-10,KXIP,MI,MI,field,normal,0,KXIP,76,runs,BA Bhatt,SK Tarapore
288,Jaipur,2011-05-11,RR,RCB,RCB,field,normal,0,RCB,9,wickets,S Aravind,HDPK Dharmasena
289,Chennai,2011-05-12,CSK,DD,CSK,bat,normal,0,CSK,18,runs,MS Dhoni,AM Saheba
290,Indore,2011-05-13,KTK,KXIP,KXIP,field,normal,0,KXIP,6,wickets,KD Karthik,S Asnani
291,Bangalore,2011-05-14,KKR,RCB,RCB,field,normal,1,RCB,4,wickets,CH Gayle,RE Koertzen
292,Mumbai,2011-05-14,DC,MI,DC,bat,normal,0,DC,10,runs,A Mishra,S Ravi
293,Dharamsala,2011-05-15,KXIP,DD,DD,field,normal,0,KXIP,29,runs,PP Chawla,Asad Rauf
294,Indore,2011-05-15,RR,KTK,KTK,field,normal,0,KTK,8,wickets,BJ Hodge,PR Reiffel
295,Mumbai,2011-05-16,PWI,DC,DC,field,normal,0,DC,6,wickets,A Mishra,S Ravi
296,Dharamsala,2011-05-17,KXIP,RCB,KXIP,bat,normal,0,KXIP,111,runs,AC Gilchrist,Asad Rauf
297,Chennai,2011-05-18,CSK,KTK,CSK,bat,normal,0,CSK,11,runs,WP Saha,HDPK Dharmasena
298,Mumbai,2011-05-19,PWI,KKR,KKR,field,normal,0,KKR,7,wickets,YK Pathan,S Ravi
299,Mumbai,2011-05-20,MI,RR,MI,bat,normal,0,RR,10,wickets,SR Watson,RE Koertzen
300,Dharamsala,2011-05-21,DC,KXIP,KXIP,field,normal,0,DC,82,runs,S Dhawan,Asad Rauf
301,Delhi,2011-05-21,DD,PWI,DD,bat,no result,0,,0,,,SS Hazare
302,Bangalore,2011-05-22,CSK,RCB,RCB,field,normal,0,RCB,8,wickets,CH Gayle,K Hariharan
303,Kolkata,2011-05-22,KKR,MI,MI,field,normal,0,MI,5,wickets,JEC Franklin,SK Tarapore
304,Mumbai,2011-05-24,RCB,CSK,CSK,field,normal,0,CSK,6,wickets,SK Raina,Asad Rauf
305,Mumbai,2011-05-25,KKR,MI,MI,field,normal,0,MI,4,wickets,MM Patel,Asad Rauf
306,Chennai,2011-05-27,RCB,MI,MI,field,normal,0,RCB,43,runs,CH Gayle,Asad Rauf
307,Chennai,2011-05-28,CSK,RCB,CSK,bat,normal,0,CSK,58,runs,M Vijay,Asad Rauf
308,Chennai,2012-04-04,CSK,MI,MI,field,normal,0,MI,8,wickets,RE Levi,JD Cloete
309,Kolkata,2012-04-05,KKR,DD,DD,field,normal,0,DD,8,wickets,IK Pathan,S Asnani
310,Mumbai,2012-04-06,PWI,MI,MI,field,normal,0,PWI,28,runs,SPD Smith,AK Chaudhary
311,Jaipur,2012-04-06,RR,KXIP,KXIP,field,normal,0,RR,31,runs,AM Rahane,BF Bowden
312,Bangalore,2012-04-07,RCB,DD,DD,field,normal,0,RCB,20,runs,AB de Villiers,S Asnani
313,Visakhapatnam,2012-04-07,CSK,DC,DC,field,normal,0,CSK,74,runs,RA Jadeja,JD Cloete
