id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
529,Visakhapatnam,2015-04-16,SRH,RR,RR,field,normal,0,RR,6,wickets,AM Rahane,PG Pathak
530,Mumbai,2015-04-17,MI,CSK,MI,bat,normal,0,CSK,6,wickets,A Nehra,AK Chaudhary
531,Visakhapatnam,2015-04-18,DD,SRH,DD,bat,normal,0,DD,4,runs,JP Duminy,PG Pathak
532,Pune,2015-04-18,KXIP,KKR,KKR,field,normal,0,KKR,4,wickets,AD Russell,SD Fry
533,Ahmedabad,2015-04-19,CSK,RR,CSK,bat,normal,0,RR,8,wickets,AM Rahane,AK Chaudhary
534,Bangalore,2015-04-19,MI,RCB,RCB,field,normal,0,MI,18,runs,Harbhajan Singh,RK Illingworth
535,Delhi,2015-04-20,DD,KKR,KKR,field,normal,0,KKR,6,wickets,UT Yadav,SD Fry
536,Ahmedabad,2015-04-21,RR,KXIP,KXIP,field,tie,0,KXIP,0,,SE Marsh,M Erasmus
537,Visakhapatnam,2015-04-22,SRH,KKR,KKR,field,normal,1,SRH,16,runs,DA Warner,RK Illingworth
538,Bangalore,2015-04-22,CSK,RCB,RCB,field,normal,0,CSK,27,runs,SK Raina,JD Cloete
539,Delhi,2015-04-23,DD,MI,MI,field,normal,0,DD,37,runs,SS Iyer,SD Fry
540,Ahmedabad,2015-04-24,RR,RCB,RCB,field,normal,0,RCB,9,wickets,MA Starc,M Erasmus
541,Mumbai,2015-04-25,MI,SRH,MI,bat,normal,0,MI,20,runs,SL Malinga,HDPK Dharmasena
542,Chennai,2015-04-25,CSK,KXIP,CSK,bat,normal,0,CSK,97,runs,BB McCullum,JD Cloete
543,Delhi,2015-04-26,DD,RCB,RCB,field,normal,0,RCB,10,wickets,VR Aaron,M Erasmus
544,Chandigarh,2015-04-27,SRH,KXIP,KXIP,field,normal,0,SRH,20,runs,TA Boult,HDPK Dharmasena
545,Kolkata,2015-05-07,KKR,DD,KKR,bat,normal,0,KKR,13,runs,PP Chawla,AK Chaudhary
546,Bangalore,2015-04-29,RCB,RR,RR,field,no result,0,,0,,,JD Cloete
547,Chennai,2015-04-28,CSK,KKR,KKR,field,normal,0,CSK,2,runs,DJ Bravo,RM Deshpande
548,Delhi,2015-05-01,KXIP,DD,DD,field,normal,0,DD,9,wickets,NM Coulter-Nile,RK Illingworth
549,Mumbai,2015-05-01,MI,RR,RR,field,normal,0,MI,8,runs,AT Rayudu,HDPK Dharmasena
550,Bangalore,2015-05-02,KKR,RCB,RCB,field,normal,0,RCB,7,wickets,Mandeep Singh,JD Cloete
551,Hyderabad,2015-05-02,SRH,CSK,CSK,field,normal,0,SRH,22,runs,DA Warner,AK Chaudhary
552,Chandigarh,2015-05-03,MI,KXIP,MI,bat,normal,0,MI,23,runs,LMP Simmons,RK Illingworth
553,Mumbai,2015-05-03,RR,DD,DD,field,normal,0,RR,14,runs,AM Rahane,HDPK Dharmasena
554,Chennai,2015-05-04,CSK,RCB,CSK,bat,normal,0,CSK,24,runs,SK Raina,C Shamshuddin
555,Kolkata,2015-05-04,KKR,SRH,SRH,field,normal,0,KKR,35,runs,UT Yadav,AK Chaudhary
556,Mumbai,2015-05-05,DD,MI,DD,bat,normal,0,MI,5,wickets,Harbhajan Singh,HDPK Dharmasena
557,Bangalore,2015-05-06,RCB,KXIP,KXIP,field,normal,0,RCB,138,runs,CH Gayle,RK Illingworth
558,Mumbai,2015-05-07,SRH,RR,RR,field,normal,0,SRH,7,runs,EJG Morgan,JD Cloete
559,Chennai,2015-05-08,CSK,MI,CSK,bat,normal,0,MI,6,wickets,HH Pandya,CB Gaffaney
560,Kolkata,2015-05-09,KXIP,KKR,KXIP,bat,normal,0,KKR,1,wickets,AD Russell,AK Chaudhary
561,Raipur,2015-05-09,SRH,DD,SRH,bat,normal,0,SRH,6,runs,MC Henriques,VA Kulkarni
562,Mumbai,2015-05-10,RCB,MI,RCB,bat,normal,0,RCB,39,runs,AB de Villiers,JD Cloete
563,Chennai,2015-05-10,CSK,RR,CSK,bat,normal,0,CSK,12,runs,RA Jadeja,M Erasmus
564,Hyderabad,2015-05-11,SRH,KXIP,SRH,bat,normal,0,SRH,5,runs,DA Warner,AK Chaudhary
565,Raipur,2015-05-12,CSK,DD,CSK,bat,normal,0,DD,6,wickets,Z Khan,RK Illingworth
566,Chandigarh,2015-05-13,KXIP,RCB,RCB,field,normal,0,KXIP,22,runs,AR Patel,JD Cloete
567,Mumbai,2015-05-14,MI,KKR,KKR,field,normal,0,MI,5,runs,HH Pandya,RK Illingworth
568,Hyderabad,2015-05-15,SRH,RCB,SRH,bat,normal,1,RCB,6,wickets,V Kohli,AK Chaudhary
569,Chandigarh,2015-05-16,KXIP,CSK,KXIP,bat,normal,0,CSK,7,wickets,P Negi,CK Nandan
570,Mumbai,2015-05-16,RR,KKR,RR,bat,normal,0,RR,9,runs,SR Watson,RM Deshpande
571,Bangalore,2015-05-17,DD,RCB,RCB,field,no result,0,,0,,,HDPK Dharmasena
572,Hyderabad,2015-05-17,SRH,MI,SRH,bat,normal,0,MI,9,wickets,MJ McClenaghan,CB Gaffaney
573,Mumbai,2015-05-19,MI,CSK,MI,bat,normal,0,MI,25,runs,KA Pollard,HDPK Dharmasena
574,Pune,2015-05-20,RCB,RR,RCB,bat,normal,0,RCB,71,runs,AB de Villiers,AK Chaudhary
575,Ranchi,2015-05-22,RCB,CSK,CSK,field,normal,0,CSK,3,wickets,A Nehra,AK Chaudhary
